episodes,scores,avg_scores
0,-1218.6928936044314,-1218.6928936044314
1,-806.2087064294815,-1012.4508000169565
2,-1414.9862170211422,-1146.6292723516851
3,-718.732002656496,-1039.6549549278877
4,-1098.4909077911418,-1051.4221455005386
5,-2075.7177637894247,-1222.1380818820196
6,500,-976.1183558988739
7,-1005.3040603398629,-979.7665689539976
8,-4077.9940770060703,-1324.0140698486725
9,296.9056786491952,-1161.9220949988858
10,229.50822955493575,-1035.4284291303566
11,-4933.054541320343,-1360.2306051461885
12,-731.0266166685276,-1311.8302983402148
13,-615.4402971900416,-1262.0881554009168
14,-1631.5370827537154,-1286.7180838911033
15,-2247.5771961150103,-1346.7717784050974
16,-1208.51728690654,-1338.6391612581233
17,-1643.6153071880913,-1355.5822804764548
18,-878.679094540011,-1330.4821127955893
19,-679.2492538506001,-1297.92046984834
20,382.62149103557635,-1217.894662187201
21,-807.7920679787367,-1199.2536351777255
22,-1169.2842335521698,-1197.9506177157448
23,-1203.228196890943,-1198.1705168480446
24,-2472.188949914585,-1249.1312541707061
25,286.052111590656,-1190.0857401029616
26,429.97017497177865,-1130.0836691742675
27,392.9100769791303,-1075.6910353830747
28,-311.7838872285333,-1049.3494095846422
29,-1494.833442913768,-1064.1988773622797
30,268.01993089077985,-1021.224077096052
31,454.07655931905117,-975.12093220808
32,-3370.0615755110284,-1047.6948910960482
33,-3378.4288306393073,-1116.2458893179087
34,193.74238905075896,-1078.8176527930898
35,357.9807503507395,-1038.9065860390945
36,-3000.166480889594,-1091.9136102242433
37,399.0069379999914,-1052.6788589551843
38,-857.2485172035379,-1047.667824551296
39,-650.9699145614527,-1037.75037680155
40,429.0774128508223,-1001.974089249053
41,-1375.131917570392,-1010.8587994471801
42,-3177.524144636692,-1061.246365614378
43,-654.0006427626281,-1051.990781004111
44,366.9532653115949,-1020.4586910859841
45,-2147.3995173230824,-1044.9574046998341
46,-2174.709086020997,-1068.9946745151778
47,-1720.8645202577582,-1082.5752963014818
48,-2374.7455785914667,-1108.9461183890323
49,-1898.1723876733586,-1124.7306437747188
50,-481.8463257742476,-1112.1250689119645
51,440.95538439697043,-1082.258137117562
52,-779.5560275316301,-1076.5467765593369
53,-2386.250695464265,-1100.8005528353542
54,-1585.5468301210426,-1109.6141215132757
55,413.4632665014714,-1082.4163110130125
56,-776.6791728769673,-1077.0525015720293
57,-1106.4141216420242,-1077.5587364008225
58,-1459.3344178470697,-1084.0295106626234
59,304.92351488517164,-1060.88029357016
60,-290.4292856457311,-1048.2499491779563
61,33.36707486350064,-1030.80451330632
62,-1433.4871532589461,-1037.1963012420758
63,-920.9469279741188,-1035.3799047847638
64,-1718.4573898810925,-1045.8887891708612
65,-328.2183923983604,-1035.0149952803686
66,-703.7576926388517,-1030.070856434973
67,-752.4014641686869,-1025.987483019292
68,433.824252363978,-1004.8307912021432
69,-543.3662314431404,-998.2384403484433
70,-2909.1587399806294,-1025.152810765798
71,-622.7685493751046,-1019.5641404687053
72,-736.9569446471069,-1015.6928090190943
73,184.81970998647654,-999.4696668703702
74,283.3053232800008,-982.366000335032
75,-682.7152115082623,-978.4232267978376
76,-650.0057774158613,-974.1580651175523
77,-1332.91179464956,-978.757471906424
78,-237.14050880544076,-969.369915411475
79,-1844.7798290772316,-980.3125393322971
80,-1205.8212379914241,-983.0965973404344
81,-1701.464190575856,-991.8571777457445
82,-1690.0656350739848,-1000.2693278340366
83,-2314.0819728908905,-1015.909954560904
84,370.39591836728357,-999.6004737029252
85,-286.6611738592459,-991.3104818442779
86,-1277.5201223117895,-994.600247826663
87,22.756167905648294,-983.0393794660685
88,-521.7865099790109,-977.8567629549779
89,-611.1261038445596,-973.7819778537511
90,-1504.1103967581898,-979.6097626768767
91,-1914.6092548445781,-989.7728006352212
92,-1400.6047230399079,-994.1903481879599
93,265.6508092063618,-980.7877826837649
94,-2391.520408137823,-995.6375997938077
95,500,-980.0580414626221
96,-1919.723160254041,-989.745310728513
97,-3121.206311175095,-1011.4949127738863
98,-1318.8380731217776,-1014.5993891410367
99,268.52403631923613,-1001.7681548864339
100,451.50460731341946,-985.0661798772553
101,-1122.1880668497201,-988.2259734814579
102,-1243.5287206120504,-986.511398517367
103,-1499.8205264362311,-994.3222837551643
104,382.42008357312494,-979.5131738415216
105,-566.7582019228503,-964.4235782228559
106,-600.9918802819702,-975.4334970256756
107,254.74289605497856,-962.8330274617272
108,257.90164027742765,-919.4740702888922
109,-32.297664513230075,-922.7661037205165
110,-2128.1054440161115,-946.3422404562268
111,-3340.5481405651594,-930.417176448675
112,451.3852916788197,-918.5930573652017
113,-2149.445559981592,-933.9331099931171
114,-1394.4732345493335,-931.5624715110732
115,-2023.0469322187346,-929.3171688721105
116,-837.3912046027417,-925.6059080490727
117,-357.50510993321905,-912.744806076524
118,-82.83755219573351,-904.7863906530808
119,-1129.8295146473292,-909.2921932610483
120,-649.0049253503485,-919.6084574249077
121,-1022.0221163387043,-921.7507579085072
122,475.8950606217508,-905.2989649667679
123,-2619.780703665552,-919.4644900345141
124,-1800.361920210403,-912.7462197374723
125,-470.90442531707214,-920.3157851065496
126,246.66104341485592,-922.1488764221187
127,417.58204588270905,-921.902156733083
128,-1929.333083028128,-938.077648691079
129,-2614.301676959355,-949.2723310315347
130,176.0094198953537,-950.1924361414891
131,321.78982877194755,-951.5153034469602
132,-1134.8967058121254,-929.163654749971
133,-1446.523478776761,-909.8446012313456
134,434.88035104312894,-907.4332216114218
135,274.04883670647195,-908.2725407478646
136,319.01751153190594,-875.0807008236495
137,-1110.9877012573334,-890.1806472162228
138,-1893.7362000569422,-900.5455240447569
139,-4079.888768449761,-934.8347125836401
140,-671.8265073425569,-945.8437517855737
141,-1286.3725923204654,-944.9561585330745
142,-451.243849177984,-917.6933555784874
143,414.0125323968609,-907.0132238268925
144,-2579.818402804045,-936.4809405080488
145,-2908.560716029845,-944.0925524951166
146,-1564.4559230570476,-937.9900208654769
147,-1263.5277214387543,-933.416652877287
148,-670.2512378249197,-916.3717094696216
149,-1075.6813282606367,-908.1467988754944
150,-320.0915843145305,-906.5292514608974
151,-669.9337413079093,-917.6381427179459
152,-675.4467134593606,-916.5970495772231
153,-676.2347918144533,-899.4968905407252
154,-1462.3896429961883,-898.2653186694765
155,-1617.9579554545353,-918.5795308890367
156,-1100.5909666770835,-921.818648827038
157,307.92919637566433,-907.675215646861
158,500,-888.0818714683903
159,194.4665005232964,-889.186441612009
160,-479.92070524548154,-891.0813558080066
161,-1577.983781512839,-907.1948643717701
162,-1405.369722523568,-906.9136900644164
163,-383.66820521355805,-901.5409028368106
164,405.2269891995045,-880.3040590460047
165,-781.8172866691567,-884.8400479887126
166,-1681.2600328109274,-894.6150713904333
167,-4974.234238607296,-936.8333991348195
168,-2273.377605890657,-963.9054177173658
169,-4721.015574438904,-1005.6819111473233
170,-376.32344940049103,-980.353558241522
171,-1182.7706467822693,-985.9535792155937
